Images: 2, 3
[36.9108, 137.811] -> [36.855, 137.672]
[264.008, 76.0245] -> [264.025, 76.0126]
[278.635, 217.671] -> [278.593, 217.688]
[210.978, 125.055] -> [210.986, 124.962]
[71.9485, 142.878] -> [71.8702, 142.764]
[93.9996, 147.858] -> [94.0552, 147.821]
[280.706, 235.969] -> [280.624, 235.884]
[186.972, 152.203] -> [186.956, 152.016]
[266.02, 181.021] -> [265.913, 180.908]
[268.763, 199.727] -> [268.762, 199.791]
[173.95, 143.123] -> [174.004, 142.949]
[184.111, 207.758] -> [184.324, 207.931]
[60.8675, 150.778] -> [60.8606, 150.671]
[70.0098, 72.9564] -> [70.0158, 72.8825]
[53.013, 79.9432] -> [53.0029, 79.885]
[47.917, 130.851] -> [47.8712, 130.739]
[178.122, 218.529] -> [178.309, 218.691]
[37.9123, 127.801] -> [37.8799, 127.655]
[49.9259, 155.912] -> [49.8849, 155.807]
[163.863, 158.022] -> [163.761, 157.847]
[146.516, 154.985] -> [146.562, 154.85]
[222.996, 98.0234] -> [223.006, 98.0129]
[198.005, 220.051] -> [198.383, 220.295]
[274.948, 158.182] -> [274.895, 158.163]
[285.805, 197.745] -> [285.774, 197.752]
[272.941, 132.088] -> [272.916, 132.009]
[135.399, 218.48] -> [135.504, 218.781]
[257.991, 94.0124] -> [257.989, 93.9933]
[267.918, 145.088] -> [267.877, 145.035]
[166.842, 173.074] -> [166.664, 172.866]
[248.986, 111.998] -> [248.961, 112.002]
[167.148, 216.272] -> [167.183, 216.557]
[68.0451, 162.722] -> [68.0542, 162.668]
[253.821, 156.087] -> [253.823, 156.032]
[45.7524, 180.828] -> [45.7708, 180.714]
[199.079, 237.174] -> [199.351, 237.608]
[163.014, 194.002] -> [163.246, 194.225]
[68.9884, 103.969] -> [68.972, 103.87]
[158.062, 223.891] -> [158.17, 224.197]
[147.251, 186.163] -> [147.586, 186.124]
[149.879, 246.007] -> [149.882, 245.928]
[249.899, 166.091] -> [249.783, 165.992]
[39.9293, 154.847] -> [39.8778, 154.709]
[159.007, 205.736] -> [159.187, 206]
[196.939, 134.128] -> [196.959, 133.963]
[137.513, 147.951] -> [137.632, 147.811]
[157.9, 133.16] -> [157.908, 132.987]
[175.961, 167.216] -> [175.827, 167.103]
[212.743, 150.066] -> [212.887, 149.975]
[47.8975, 143.784] -> [47.857, 143.639]
[1.99025, 230.975] -> [1.94692, 230.895]
[129.998, 120.042] -> [129.974, 119.912]
[203.745, 163.428] -> [204.451, 163.312]
[281.975, 271.056] -> [281.946, 270.945]
[67.0049, 93.9843] -> [66.9952, 93.9084]
[216.993, 70.0029] -> [217.033, 69.9867]
[170.975, 185.004] -> [171.012, 185.197]
[154.942, 293.039] -> [154.949, 292.983]
[238.802, 160.005] -> [238.845, 159.978]
[27.7832, 203.642] -> [27.6938, 203.526]
[127.355, 201.254] -> [127.482, 201.802]
[130.952, 168.271] -> [131.52, 168.19]
[176.946, 155.117] -> [176.822, 154.953]
[35.66, 187.815] -> [35.7136, 187.637]
[144.912, 309.901] -> [144.992, 310.034]
[184.988, 139.133] -> [185.013, 138.956]
[298.926, 217.038] -> [298.851, 216.939]
[2.09413, 253.955] -> [2.11039, 253.964]
[45.9493, 165.803] -> [45.9837, 165.646]
[220.175, 208.086] -> [220.78, 208.866]
[32.7767, 167.889] -> [32.7564, 167.725]
[226.982, 145.064] -> [227.026, 145.019]
[224.463, 176.709] -> [225.349, 176.806]
[303.898, 245.145] -> [303.855, 244.999]
[146.944, 276.017] -> [146.949, 275.897]
[197.002, 179.536] -> [197.306, 179.669]
[281.923, 258.085] -> [281.809, 258.027]
[146.798, 199.565] -> [147.133, 200.185]
[295.665, 193.593] -> [295.591, 193.52]
[308.034, 222.022] -> [307.984, 222.005]
[108.2, 223.535] -> [108.201, 223.457]
[188.921, 162.272] -> [188.977, 162.146]
[144.628, 230.087] -> [144.766, 230.191]


Images: 6, 7
[194.992, 105.942] -> [194.985, 105.923]
[267.003, 86.9923] -> [267.039, 87.0119]
[234.074, 66.952] -> [234.07, 67.0017]
[195, 117.917] -> [194.983, 117.893]
[109.959, 115.897] -> [109.991, 115.899]
[277.743, 189.69] -> [277.814, 189.716]
[83.989, 87.8972] -> [83.9825, 87.8534]
[87.9809, 64.8769] -> [87.9878, 64.8559]
[101.969, 128.943] -> [101.992, 128.853]
[242.038, 58.9741] -> [242.071, 59.0086]
[291.728, 206.773] -> [291.808, 207.177]
[106.974, 103.887] -> [106.997, 103.885]
[103.949, 93.88] -> [103.992, 93.8902]
[70.9538, 116.872] -> [70.9663, 116.846]
[218.009, 88.9896] -> [217.996, 88.9986]
[111.947, 85.8786] -> [111.997, 85.907]
[60.0139, 70.8804] -> [60.0302, 70.8438]
[256.915, 143.988] -> [256.943, 143.927]
[231.031, 89.0051] -> [231.031, 88.989]
[252.939, 128.04] -> [252.942, 127.982]
[80.9825, 99.8492] -> [80.9655, 99.8241]
[182.977, 127.935] -> [183.035, 127.737]
[240.948, 120.043] -> [240.971, 119.999]
[80.8951, 133.889] -> [80.9013, 133.77]
[112.974, 128.927] -> [113.017, 128.833]
[77.9902, 62.8857] -> [78.0039, 62.8563]
[243.857, 151.042] -> [243.976, 151.002]
[86.9619, 74.8777] -> [86.9632, 74.8542]
[222.987, 111.96] -> [222.964, 111.973]
[238.054, 77.9858] -> [238.052, 78.0199]
[221.961, 129.957] -> [221.943, 129.885]
[205.996, 101.965] -> [205.987, 101.957]
[125.008, 107.939] -> [125.018, 107.923]
[131.369, 155.652] -> [131.269, 155.796]
[135.997, 127.943] -> [135.935, 127.773]
[200.001, 89.9729] -> [199.992, 89.9841]
[242.017, 94.0051] -> [242.009, 93.9829]
[279.733, 168.806] -> [279.752, 169.003]
[82.9573, 112.864] -> [82.9536, 112.819]
[238.983, 110.002] -> [238.973, 110.038]
